id	section	text
A034	consonants	గాఢమైన నిద్రలో ఢంకా మోత కూడా వినిపించలేదు.
A035	consonants	కారణం చెప్పకుండా ప్రాణం తీసేలా మాట్లాడకండి.
A036	consonants	తల్లి తమ్ముడికి తియ్యని పండు తినిపించింది.
A037	consonants	రథం మీద ఊరేగింపు కథలా సాగింది.
A038	consonants	దారి దూరంగా ఉన్నా దిగులు లేదు.
A039	consonants	ధైర్యంగా ధర్మం వైపు నిలబడాలి.
A040	consonants	నాన్న నిన్న నగరానికి నడిచి వెళ్ళారు.
A041	consonants	పిల్లలు పరుగెత్తుతూ పార్కులో ఆడుకున్నారు.
A042	consonants	ఫలితం ఫోన్‌లో వెంటనే చెప్పారు.
A043	consonants	బడికి బయలుదేరిన బాబు బస్సు ఎక్కాడు.
A044	consonants	భయం లేకుండా భవనం మెట్లు ఎక్కాడు.
A045	consonants	మామిడి మొక్క మెల్లగా మొలిచింది.
A046	consonants	యజమాని యథావిధిగా సమయానికి వచ్చారు.
A047	consonants	రాము రేపు రైలులో రాజమండ్రి వస్తాడు.
A048	consonants	లక్ష్మి లడ్డు తెచ్చి అందరికీ పంచింది.
A049	consonants	వాన వచ్చి వాగులో వరద పెరిగింది.
A050	consonants	శంకరుడు శాంతంగా శిష్యులతో మాట్లాడారు.
A051	consonants	షాపులో షర్టు చూసి కొన్నాను.
A052	consonants	సాయంత్రం సంతోషంగా సమయం గడిపాం.
A053	consonants	హనుమంతుడు హడావిడిగా బయలుదేరాడు.
A054	consonants	కాళ్ళు కడుక్కొని లోపలికి రండి.
A055	consonants	క్షమించండి, ఒక్క క్షణం ఆగండి.
A056	consonants	వేళ తప్పకుండా మాత్రలు వేసుకోవాలి.
A057	consonants	ఖాళీ సమయంలో పుస్తకం చదువుతాను.
A058	consonants	ఘడియ ఘడియకు వాతావరణం మారుతోంది.
A059	consonants	ఛలో అని అందరూ కదిలారు.
A060	consonants	ఝళిపిస్తూ గాలి వీచింది.
B001	clusters	ప్రేమతో పలకరిస్తే ప్రతి పని సులభమవుతుంది.
B002	clusters	స్నేహం ఎప్పుడూ స్వచ్ఛంగా ఉండాలి.
B003	clusters	శ్రమ లేకుండా శ్రేయస్సు రాదు.
B004	clusters	క్రమం తప్పకుండా వ్యాయామం చేయాలి.
B005	clusters	గ్రామంలో గ్రంథాలయం కొత్తగా కట్టారు.
B006	clusters	ద్రాక్ష పండ్లు తీపిగా ఉన్నాయి.
B007	clusters	స్త్రీలు స్వతంత్రంగా నిర్ణయం తీసుకున్నారు.
B008	clusters	స్వాగతం పలికి లోపలికి తీసుకెళ్ళారు.
B009	clusters	జ్ఞాపకం వచ్చి కళ్ళు చెమర్చాయి.
B010	clusters	ధ్వని స్పష్టంగా వినిపిస్తోంది.
B011	clusters	ప్రయత్నం చేస్తే ఫలితం తప్పకుండా వస్తుంది.
B012	clusters	బ్రతుకు తెరువు కోసం పట్టణం వచ్చాడు.
B013	clusters	క్లాసు మధ్యలో ప్రశ్న అడిగాడు.
B014	clusters	ప్లేటులో అన్నం వడ్డించారు.
B015	clusters	త్వరగా వస్తే మంచిది.
B016	clusters	మధ్యాహ్నం భోజనం చేసి బయలుదేరాం.
B017	clusters	ఆశ్చర్యంగా అందరూ చూస్తూ ఉండిపోయారు.
B018	clusters	విద్యార్థులు శ్రద్ధగా వింటున్నారు.
B019	clusters	సంతృప్తిగా ఇంటికి తిరిగి వెళ్ళారు.
B020	clusters	నిర్ణయం ఇప్పుడే తీసుకోవాల్సిన అవసరం లేదు.
B021	gemination	అమ్మ అన్నయ్యకు అక్కడ ఇల్లు చూపించింది.
B022	gemination	ఒక్క నిమిషం ఆగితే చెప్పేస్తాను.
B023	gemination	గట్టిగా చెప్పండి, సరిగ్గా వినపడట్లేదు.
B024	gemination	ఎక్కువ ఖర్చు లేకుండా పని పూర్తయింది.
B025	gemination	పిల్లలు ముద్దుగా మాట్లాడుతున్నారు.
B026	gemination	చెప్పులు బయటే విడిచి రండి.
B027	gemination	అట్టి పరిస్థితిలో ఏమీ చేయలేము.
B028	gemination	నిన్నటి నుంచి ఇద్దరూ ఇక్కడే ఉన్నారు.
B029	gemination	తప్పకుండా రేపు కలుద్దాం.
B030	gemination	అప్పుడప్పుడు గుర్తుకు వస్తుంటారు.
B031	minimal	కాలం మారినా కలం మారలేదు.
B032	minimal	పలు రకాల పళ్ళు మార్కెట్‌లో ఉన్నాయి.
B033	minimal	మాట మీద నిలబడితేనే మట్టి కూడా బంగారమవుతుంది.
B034	minimal	చేను చూసి చెను అనుకోకండి.
B035	minimal	తల నొప్పిగా ఉంటే తాళం వేసి పడుకోండి.
B036	minimal	కడుపు నిండా తినండి, కుడి చేత్తో వడ్డిస్తాను.
B037	minimal	పని పూర్తయ్యాక పానీయం తాగండి.
B038	minimal	వదిన వడ్డించిన అన్నం రుచిగా ఉంది.
B039	minimal	బడి దగ్గర బండి ఆపండి.
B040	minimal	గది లోపల గడియారం ఆగిపోయింది.
C001	numbers	సున్నా, ఒకటి, రెండు, మూడు, నాలుగు, ఐదు.
C002	numbers	ఆరు, ఏడు, ఎనిమిది, తొమ్మిది, పది.
C003	numbers	పదకొండు, పన్నెండు, పదమూడు, పద్నాలుగు, పదిహేను.
C004	numbers	పదహారు, పదిహేడు, పద్దెనిమిది, పంతొమ్మిది, ఇరవై.
C005	numbers	ముప్పై, నలభై, యాభై, అరవై, డెబ్బై, ఎనభై, తొంభై, వంద.
C006	numbers	వెయ్యి, రెండు వేలు, పది వేలు, లక్ష.
C007	numbers	మీ property కి నాలుగు పాయింట్ రెండు rating ఉంది.
C008	numbers	Google Maps లో నాలుగు పాయింట్ ఎనిమిది rating చూశాను.
C009	numbers	మూడు పాయింట్ తొమ్మిది rating అంటే మంచిదే సర్.
C010	numbers	ప్రస్తుతం పన్నెండు rooms ఖాళీగా ఉన్నాయి.
C011	numbers	ఇరవై ఐదు beds ఉన్నాయని చెప్పారు.
C012	numbers	నెలకు ఐదు వేల రూపాయలు అవుతుంది.
C013	numbers	పది వేల రూపాయల వరకు ఉంటుంది సర్.
C014	numbers	రెండు వందల యాభై రూపాయలు మాత్రమే.
C015	numbers	ఉదయం పది గంటలకు call చేస్తాను సర్.
C016	numbers	సాయంత్రం ఆరు గంటల తర్వాత free గా ఉంటారా?
C017	numbers	మధ్యాహ్నం రెండు గంటలకు కుదురుతుందా సర్?
C018	numbers	రేపు పొద్దున్న తొమ్మిదిన్నరకు మాట్లాడదాం.
C019	numbers	ఒక్క నిమిషం, ఇంకో రెండు నిమిషాలు మాత్రమే.
C020	numbers	పది నిమిషాల తర్వాత మళ్ళీ ప్రయత్నిస్తాను.
C021	numbers	సోమవారం, మంగళవారం, బుధవారం, గురువారం.
C022	numbers	శుక్రవారం, శనివారం, ఆదివారం కూడా పని చేస్తాం.
C023	numbers	ఈరోజు, రేపు, ఎల్లుండి — ఏ రోజు కుదురుతుంది?
C024	numbers	ఈ నెల చివరిలోపు పూర్తవుతుంది సర్.
C025	numbers	మొదటి అంతస్తులో నాలుగు గదులు ఉన్నాయి.
C026	numbers	రెండో అంతస్తు పూర్తిగా ఖాళీగా ఉంది.
C027	numbers	ముప్పై మంది students ఉంటున్నారు.
C028	numbers	యాభై శాతం గదులు నిండాయి.
C029	numbers	వంద శాతం free గా add చేస్తాం సర్.
C030	numbers	సంవత్సరం మొత్తం మీద మంచి డిమాండ్ ఉంటుంది.
D001	tenglish	మీ property ని LAMPOSE లో free గా add చేద్దామని call చేశాను.
D002	tenglish	మా online stay booking platform ఇప్పుడే live లో ఉంది.
D003	tenglish	ప్రస్తుతం rooms గానీ beds గానీ ఖాళీగా ఉన్నాయా సర్?
D004	tenglish	మీ PG కి customers ఎలా వస్తున్నారు సర్?
D005	tenglish	brokers ద్వారానా, లేదా walk-ins గానా?
D006	tenglish	WhatsApp లో details పంపిస్తాం సర్.
D007	tenglish	ఈ number కే message వస్తుంది సర్.
D008	tenglish	మా team మీకు photos గురించి చెబుతారు.
D009	tenglish	onboarding చాలా simple సర్, మేము guide చేస్తాం.
D010	tenglish	website లో మీ hostel కనిపిస్తుంది.
D011	tenglish	booking request వచ్చినప్పుడు accept లేదా reject చేయొచ్చు.
D012	tenglish	Google Maps లో మీ hotel చూశాను సర్.
D013	tenglish	మంచి reviews ఉన్నాయి, rating కూడా బాగుంది.
D014	tenglish	To-Let properties కూడా add చేయొచ్చు సర్.
D015	tenglish	students, professionals, families — అందరూ చూస్తారు.
D016	tenglish	commission గురించి మా team clear గా చెబుతారు.
D017	tenglish	మీకు interest ఉంటే చెప్పండి సర్.
D018	tenglish	ఏ time లో call చేయాలో చెబితే అప్పుడే చేస్తాను.
D019	tenglish	ఒక్క నిమిషం మాట్లాడొచ్చా సర్?
D020	tenglish	నేను Kavya, LAMPOSE నుంచి call చేస్తున్నాను.
D021	tenglish	మీ property details మా team తీసుకుంటుంది.
D022	tenglish	LAMPOSE ఒక extra online channel మాత్రమే సర్.
D023	tenglish	మీ business మామూలుగానే నడుపుకోవచ్చు.
D024	tenglish	free గా ఉన్నప్పుడు ఒకసారి try చేసి చూడండి సర్.
D025	tenglish	online లో customers మిమ్మల్ని direct గా contact చేస్తారు.
D026	tenglish	మీ hostel లో ఎన్ని beds ఉన్నాయి సర్?
D027	tenglish	monthly rent ఎంత ఉంటుంది సర్?
D028	tenglish	advance ఎంత తీసుకుంటారు?
D029	tenglish	food facility కూడా ఉందా సర్?
D030	tenglish	AC rooms, non-AC rooms రెండూ ఉన్నాయా?
D031	tenglish	single sharing, double sharing ఉన్నాయా సర్?
D032	tenglish	location Kakinada లోనేనా సర్?
D033	tenglish	Rajahmundry లో మీ branch ఉందా?
D034	tenglish	Hyderabad లో కూడా property ఉందా సర్?
D035	tenglish	మీ WhatsApp number ఇదేనా సర్?
D036	tenglish	ఈ number కే WhatsApp లో పంపనా సర్?
D037	tenglish	మా team రేపు follow-up చేస్తుంది సర్.
D038	tenglish	registration కి ఎలాంటి charges లేవు సర్.
D039	tenglish	మీ photos మేమే upload చేస్తాం.
D040	tenglish	app లో కూడా చూడొచ్చు సర్.
D041	tenglish	customer booking confirm చేసిన తర్వాత మీకు తెలుస్తుంది.
D042	tenglish	payment direct గా మీకే వస్తుంది సర్.
D043	tenglish	ఎలాంటి contract లేదు సర్.
D044	tenglish	ఎప్పుడైనా stop చేసుకోవచ్చు.
D045	tenglish	మీ time ఇచ్చినందుకు చాలా thanks సర్.
E001	call_open	హలో నమస్తే సర్! మీరు owner గారేనా?
E002	call_open	హలో నమస్తే మేడం! మీరు owner గారేనా?
E003	call_open	నమస్కారం సర్, ఒక్క నిమిషం మాట్లాడొచ్చా?
E004	call_open	సర్, మీ property ని Google Maps లో చూశాను.
E005	call_open	నేను Kavya, LAMPOSE నుంచి — ఒక్క నిమిషం మాట్లాడొచ్చా సర్?
E006	call_open	Thanks సర్! ఎక్కువ time తీసుకోను.
E007	call_open	మీ number Google Maps లో public గా ఉంది సర్, అక్కడే చూశాను.
E008	call_open	ఓహ్ సారీ అండి, owner గారు ఎప్పుడు అందుబాటులో ఉంటారు?
E009	call_open	మంచిది సర్, అయితే రెండు నిమిషాలు మాట్లాడతాను.
E010	call_open	మీరు బిజీగా ఉంటే తర్వాత call చేస్తాను సర్.
E011	call_pitch	LAMPOSE ఒక online stay booking platform సర్.
E012	call_pitch	customers మీ property ని online లో చూసి booking request పంపుతారు.
E013	call_pitch	మీ property ని free గా add చేద్దామని call చేశాను.
E014	call_pitch	ఎలాంటి charges లేకుండా మీ hostel ని list చేస్తాం.
E015	call_pitch	booking request మీ WhatsApp కే వస్తుంది సర్.
E016	call_pitch	మీరు చూసి accept చేస్తే చాలు, మిగతాది మేము చూసుకుంటాం.
E017	call_pitch	కొత్త system ఏమీ నేర్చుకోవాల్సిన అవసరం లేదు సర్.
E018	call_pitch	మీకు వచ్చే customers అదనంగా ఉంటారు అంతే.
E019	call_pitch	మీ మామూలు business ఏ పనీ ఆగదు సర్.
E020	call_pitch	onboarding మేము step by step guide చేస్తాం, చాలా simple.
E021	call_qual	ప్రస్తుతం మీ దగ్గర rooms ఖాళీగా ఉన్నాయా సర్?
E022	call_qual	ఎన్ని beds ఖాళీగా ఉన్నాయి సర్?
E023	call_qual	ఇప్పుడు customers మీకు ఎలా వస్తున్నారు?
E024	call_qual	మీ property PG నా, hostel నా, లేక To-Let నా సర్?
E025	call_qual	ఎక్కువగా students ఉంటారా, professionals ఉంటారా?
E026	call_qual	మీ area లో demand ఎలా ఉంది సర్?
E027	call_qual	సాధారణంగా ఎన్ని రోజుల్లో rooms నిండుతాయి?
E028	call_qual	మీరే owner గారా, లేక manager గారా సర్?
E029	call_qual	నిర్ణయం మీరే తీసుకుంటారా సర్?
E030	call_qual	ఇంకెవరితోనైనా మాట్లాడాలా సర్?
E031	objection	అర్థమైంది సర్, మీకు ఇప్పుడు అవసరం లేదు అంటున్నారు.
E032	objection	ఫర్వాలేదు సర్, భవిష్యత్తులో అవసరమైతే చెప్పండి.
E033	objection	మీకు ఇప్పటికే customers ఉన్నారు, చాలా మంచిది సర్.
E034	objection	అందుకే సర్, ఇది అదనపు channel మాత్రమే.
E035	objection	WhatsApp మీకు అలవాటే కదా సర్, అదే వాడతాం.
E036	objection	ఎలాంటి డబ్బు కట్టాల్సిన అవసరం లేదు సర్.
E037	objection	ఆ terms మా team WhatsApp లో clear గా confirm చేస్తారు.
E038	objection	నేను ఎలాంటి హామీ ఇవ్వను సర్, మా team వివరంగా చెబుతారు.
E039	objection	మీకు నమ్మకం కుదిరాకే ముందుకు వెళ్దాం సర్.
E040	objection	తొందర ఏమీ లేదు సర్, ఆలోచించి చెప్పండి.
E041	objection	మీ partner గారితో మాట్లాడి చెప్పండి సర్.
E042	objection	అలాగే సర్, మీకు వీలైనప్పుడు నేను call చేస్తాను.
E043	objection	సరే సర్, ఇబ్బంది పెట్టను. మంచి రోజు అవ్వాలి.
E044	objection	మీరు వద్దు అంటే ఇక call చేయను సర్.
E045	objection	క్షమించండి సర్, మీ time వృథా చేయదలచుకోలేదు.
E046	call_close	సరే సర్, ఏ time లో free గా ఉంటారు?
E047	call_close	రేపు ఉదయం పది గంటలకు call చేయనా సర్?
E048	call_close	మీ WhatsApp కి details పంపిస్తారు మా team.
E049	call_close	మీరు చెప్పిన number కే WhatsApp చేస్తాం సర్.
E050	call_close	ఒక్క నిమిషం సర్, మా team member కి connect చేస్తున్నాను.
E051	call_close	line లో ఉండండి సర్, ఇప్పుడే కలుపుతాను.
E052	call_close	చాలా thanks సర్, మీ time ఇచ్చినందుకు.
E053	call_close	మంచి రోజు అవ్వాలి సర్, నమస్కారం.
E054	call_close	అలాగే సర్, రేపు మాట్లాడుకుందాం.
E055	call_close	సరే సర్, ధన్యవాదాలు. ఉంటాను మరి.
E056	call_close	మీ సహకారానికి చాలా సంతోషం సర్.
E057	call_close	ఇంకేమైనా సందేహాలు ఉంటే అడగండి సర్.
E058	call_close	మీ property ని ఈరోజే add చేస్తాం సర్.
E059	call_close	రేపటిలోగా మా team మిమ్మల్ని contact చేస్తుంది.
E060	call_close	ధన్యవాదాలు సర్, మంచి రోజు గడపండి.
F001	question	మీరు ఏమంటారు సర్?
F002	question	ఇది మీకు ఉపయోగపడుతుందా?
F003	question	ఎప్పుడు కుదురుతుంది సర్?
F004	question	ఎక్కడ ఉంది మీ property?
F005	question	ఎందుకు అలా అనుకుంటున్నారు సర్?
F006	question	ఎలా చేద్దాం సర్?
F007	question	ఎవరితో మాట్లాడాలి సర్?
F008	question	ఎంత సమయం పడుతుంది?
F009	question	నిజంగానా సర్?
F010	question	అలాగేనా సర్?
F011	exclaim	చాలా బాగుంది సర్!
F012	exclaim	అద్భుతం! అలా అయితే చాలా మంచిది.
F013	exclaim	వావ్, అంత మంచి rating ఉందా!
F014	exclaim	అయ్యో, అలా జరిగిందా సర్!
F015	exclaim	భలే సర్, మీరు చెప్పింది నిజం.
F016	empathy	అర్థమైంది సర్, మీ ఇబ్బంది నాకు తెలుసు.
F017	empathy	నిజమే సర్, మీరు చెప్పింది కరెక్ట్.
F018	empathy	మీ పరిస్థితి అర్థం చేసుకోగలను సర్.
F019	empathy	ఇబ్బంది పెట్టినందుకు క్షమించండి సర్.
F020	empathy	ఫర్వాలేదు సర్, ఏమీ అనుకోవద్దు.
F021	apology	సారీ సర్, సరిగ్గా వినపడలేదు.
F022	apology	క్షమించండి సర్, మళ్ళీ చెప్పగలరా?
F023	apology	నా తప్పే సర్, ఇంకోసారి చెబుతాను.
F024	apology	సారీ సర్, మీ మాట మధ్యలో ఆపాను.
F025	apology	క్షమించండి, కొంచెం నెమ్మదిగా చెబుతాను.
F026	filler	హా... అలాగే సర్.
F027	filler	ఊ... అర్థమైంది.
F028	filler	అలాగే సర్, ఒక్క క్షణం.
F029	filler	ఆహా, సరే సర్.
F030	filler	సరే సరే, చెప్పండి సర్.
F031	filler	హ్మ్... ఒక్క నిమిషం ఆగండి.
F032	confirm	అవును సర్, కరెక్ట్.
F033	confirm	లేదు సర్, అలా కాదు.
F034	confirm	తప్పకుండా సర్.
F035	confirm	ఖచ్చితంగా చేస్తాను సర్.
F036	confirm	సరే సర్, అలాగే చేద్దాం.
F037	warm	మీతో మాట్లాడటం చాలా సంతోషంగా ఉంది సర్.
F038	warm	మీరు చాలా ఓపికగా విన్నారు, ధన్యవాదాలు.
F039	warm	మీ property చాలా బాగుంది సర్.
F040	warm	మీ లాంటి owners తోనే మాకు నమ్మకం.
F041	calm	తొందర లేదు సర్, నెమ్మదిగా చెప్పండి.
F042	calm	ఆలోచించుకుని చెప్పండి సర్, సమయం ఉంది.
F043	calm	మీకు నచ్చకపోతే వద్దు అని చెప్పొచ్చు సర్.
F044	energetic	చాలా బాగుంది సర్, వెంటనే మొదలుపెడదాం!
F045	energetic	అయితే ఇప్పుడే మీ property add చేసేద్దాం సర్!
G001	dense	ప్రతి ఒక్కరూ శ్రద్ధగా విని, క్షమాపణ చెప్పి, ధైర్యంగా ముందుకు వెళ్ళారు.
G002	dense	ఖాళీ గదుల వివరాలు ఘనంగా ప్రకటించి, జ్ఞాపకంగా ఛాయాచిత్రం తీశారు.
G003	dense	అమ్మ, అక్క, అన్నయ్య అందరూ ఒక్కచోట చేరి ఆనందంగా భోజనం చేశారు.
G004	dense	ఔషధాలు, ఋతువులు, ఐక్యత గురించి ఓపికగా వివరించారు.
G005	dense	తెలుగు భాషలో ఝరి, ఠీవి, ఢంకా వంటి పదాలు అరుదుగా వాడతారు.
G006	dense	స్వాగతం పలికి, స్నేహంగా మాట్లాడి, శ్రమను మరిపించారు.
G007	dense	నక్షత్రాలు ఆకాశంలో మెరుస్తుండగా, పక్షులు గూళ్ళకు చేరాయి.
G008	dense	ద్రాక్ష, మామిడి, జామ — అన్ని పండ్లూ తాజాగా ఉన్నాయి.
G009	dense	వ్యవసాయం, విద్య, వైద్యం — మూడూ ముఖ్యమైనవే.
G010	dense	చిన్నప్పటి జ్ఞాపకాలు గుర్తుకొచ్చి కళ్ళు చెమర్చాయి.
G011	dense	ప్రభుత్వ కార్యాలయంలో దరఖాస్తు ఇచ్చి, రసీదు తీసుకున్నాం.
G012	dense	సంతోషం, దుఃఖం రెండూ జీవితంలో భాగమే.
G013	dense	ఉదయాన్నే లేచి, స్నానం చేసి, గుడికి వెళ్ళాను.
G014	dense	అతను నిజాయితీగా, క్రమశిక్షణతో పని చేస్తాడు.
G015	dense	ఇంటి ముందు మల్లె పూలు గుబాళిస్తున్నాయి.
G016	dense	రైతులు పొలంలో విత్తనాలు చల్లుతున్నారు.
G017	dense	పుస్తకం చదివి, ముఖ్యమైన విషయాలు రాసుకున్నాను.
G018	dense	ఆరోగ్యమే మహాభాగ్యం అని పెద్దలు చెబుతారు.
G019	dense	తెలంగాణ, ఆంధ్రప్రదేశ్ రెండు రాష్ట్రాల్లోనూ తెలుగు మాట్లాడతారు.
G020	dense	కృషి ఉంటే మనుషులు ఋషులవుతారు.
H001	rare	వాఙ్మయంలో తెలుగు భాషకు ఎంతో గొప్ప స్థానం ఉంది.
H002	rare	ప్రాఙ్ముఖంగా కూర్చొని ధ్యానం చేశారు.
H003	rare	ఔషధం వేళకు వేసుకుంటే ఔన్నత్యం ఆరోగ్యంలో కనిపిస్తుంది.
H004	rare	ఔత్సాహికులు ఔదార్యంతో సాయం చేశారు.
H005	rare	ఔను సర్, మీరు చెప్పింది పూర్తిగా నిజం.
H006	rare	గౌరవంగా పలకరించి, సౌకర్యంగా కూర్చోబెట్టారు.
H007	rare	చౌక ధరలకే మంచి వస్తువులు దొరుకుతాయి.
H008	rare	పౌరులు మౌనంగా నిలబడి నివాళి అర్పించారు.
H009	rare	నౌక సముద్రంలో నెమ్మదిగా కదులుతోంది.
H010	rare	కౌగిలించుకుని ఆప్యాయంగా పలకరించారు.
H011	rare	ఋషులు ఋతువుల మార్పును ఋజువుతో వివరించారు.
H012	rare	ఋణం తీర్చుకోవడం మన బాధ్యత.
H013	rare	కృషి ఉంటే వృద్ధి తప్పకుండా ఉంటుంది.
H014	rare	హృదయపూర్వక కృతజ్ఞతలు తెలియజేస్తున్నాను.
H015	rare	తృప్తిగా భోజనం చేసి, మృదువుగా మాట్లాడారు.
H016	rare	గృహప్రవేశానికి బంధువులందరినీ పిలిచారు.
H017	rare	సృష్టిలో ప్రతి జీవికీ ఒక ప్రత్యేకత ఉంది.
H018	rare	నృత్యం చూసి ప్రేక్షకులు చప్పట్లు కొట్టారు.
H019	rare	దుఃఖంలో ఉన్నవారిని ఓదార్చడం మంచి లక్షణం.
H020	rare	ప్రాతఃకాలంలో నిఃశబ్దంగా ఉంటుంది వాతావరణం.
H021	rare	అంతఃపురంలో జరిగిన కథ ఇది.
H022	rare	పునఃప్రారంభం కోసం అందరూ ఎదురుచూస్తున్నారు.
H023	rare	ఛాయాచిత్రాలు ఛత్రం కింద తీశారు.
H024	rare	స్వచ్ఛమైన నీరు ఇచ్ఛానుసారం వాడుకోవచ్చు.
H025	rare	ఛందస్సు నేర్చుకుంటే పద్యాలు రాయొచ్చు.
H026	rare	ఝరి ఝుమ్మని ప్రవహిస్తూ ఝంఝామారుతంలా శబ్దం చేసింది.
H027	rare	జ్ఞానం, విజ్ఞానం, ప్రజ్ఞ — మూడూ వేరు వేరు.
H028	rare	యజ్ఞం ముగిశాక ఆజ్ఞ ప్రకారం అందరూ కదిలారు.
H029	rare	సంజ్ఞ చేస్తే చాలు, అర్థమైపోతుంది.
H030	rare	ఠీవిగా నిలబడి కఠినమైన ప్రశ్నకు జవాబు చెప్పాడు.
H031	rare	పఠనం మీద నిష్ఠ ఉంటే పాఠం గుర్తుంటుంది.
H032	rare	మఠం దగ్గర కంఠస్వరం స్పష్టంగా వినిపించింది.
H033	rare	గాఢమైన నిద్రలో ఢంకా మోత కూడా వినిపించలేదు.
H034	rare	దృఢమైన నిర్ణయం తీసుకుని ముందుకు వెళ్ళాడు.
H035	rare	మూఢ నమ్మకాలను వదిలిపెట్టాలి.
I001	natural	ఉదయాన్నే లేచి, కాఫీ తాగి, పేపర్ చదవడం నాకు అలవాటు.
I002	natural	మా ఊరిలో ప్రతి ఆదివారం సంత జరుగుతుంది, చాలా మంది వస్తారు.
I003	natural	వర్షాకాలం వచ్చిందంటే రోడ్లన్నీ బురదమయం అయిపోతాయి.
I004	natural	పిల్లలు పరీక్షలకు సిద్ధమవుతున్నారు, ఇంట్లో నిశ్శబ్దంగా ఉంది.
I005	natural	ఆ ఇంటి ముందు మల్లె పూల చెట్టు ఉంది, సాయంత్రం అంతా సువాసన.
I006	natural	రైతులు పొలంలో విత్తనాలు చల్లి, వర్షం కోసం ఎదురుచూస్తున్నారు.
I007	natural	బస్సు కోసం అరగంట నిలబడ్డాక, చివరికి ఆటో ఎక్కాను.
I008	natural	మా అమ్మమ్మ చెప్పే కథలు వింటూ నిద్రపోవడం చిన్నప్పటి అలవాటు.
I009	natural	ఆఫీసు నుంచి ఇంటికి చేరేసరికి రాత్రి తొమ్మిది అయింది.
I010	natural	పండగ రోజు అందరూ కొత్త బట్టలు వేసుకుని గుడికి వెళ్ళారు.
I011	natural	ఆరోగ్యం జాగ్రత్తగా చూసుకుంటే మిగతావన్నీ సర్దుకుంటాయి.
I012	natural	మంచి మాట మనసుకు హత్తుకుంటుంది, చెడు మాట గుర్తుండిపోతుంది.
I013	natural	తక్కువ ఖర్చుతో ఎక్కువ ప్రయోజనం ఉంటే ఎవరైనా ఒప్పుకుంటారు.
I014	natural	సమయానికి పని పూర్తి చేస్తే ఎవరూ ఏమీ అనరు.
I015	natural	కొత్త విషయాలు నేర్చుకోవడానికి వయసు అడ్డు కాదు.
I016	natural	పట్టణంలో అద్దె ఇళ్ళు దొరకడం ఇప్పుడు చాలా కష్టంగా ఉంది.
I017	natural	విద్యార్థులు ఎక్కువగా కళాశాల దగ్గరే గదులు వెతుకుతారు.
I018	natural	ఉద్యోగం కోసం వచ్చినవాళ్ళకు మొదట కావాల్సింది ఉండటానికి చోటు.
I019	natural	మంచి భోజనం, శుభ్రమైన గది ఉంటే ఎవరైనా ఉంటారు.
